meta_review,paper,Intervention,Age,Outcome,followup_rank,Raters,Class,measure,value,CI_95,CI_lower,CI_upper,p_value,PI_95,n_studies,total_n,egger_p,ESB_p,indirectness,report,rob,es,ci_lo,ci_up,Factor
93,Ang (2023),Acupuncture,Children/Adolescents (6-17yo),Generalized anxiety,Endpoint (~12wk),Parent-rated,Low,G,0.039,"[-0.258, 0.336]",-0.258,0.336,7.97e-01,"[-1.888, 1.966]",2,171,NaN,6.10e-01,no,100,100,0.039,-0.258,0.336,Ang (2023)_Acupuncture_Generalized anxiety_Parent-rated_At study endpoint (closest to 12 weeks)
93,Ang (2023),Acupuncture,Children/Adolescents (6-17yo),Learning disorder symptoms,Endpoint (~12wk),Parent-rated,Very low,G,0.625,"[0.321, 0.93]",0.321,0.93,5.72e-05,"[-1.349, 2.6]",2,171,NaN,1.91e-01,no,100,100,0.625,0.321,0.93,Ang (2023)_Acupuncture_Learning disorder symptoms_Parent-rated_At study endpoint (closest to 12 weeks)
93,Ang (2023),Acupuncture,Children/Adolescents (6-17yo),Conduct disorder symptoms (CD),Endpoint (~12wk),Parent-rated,Very low,G,0.662,"[0.356, 0.968]",0.356,0.968,2.17e-05,"[-1.319, 2.643]",2,171,NaN,2.69e-01,no,100,100,0.662,0.356,0.968,Ang (2023)_Acupuncture_Conduct Disorder symptoms_Parent-rated_At study endpoint (closest to 12 weeks)
93,Ang (2023),Acupuncture,Children/Adolescents (6-17yo),Core ADHD symptoms [Parent-rated],Endpoint (~12wk),Parent-rated,Very low,G,0.793,"[0.484, 1.101]",0.484,1.101,4.96e-07,"[-1.21, 2.795]",2,171,NaN,3.67e-01,no,100,100,0.793,0.484,1.101,Ang (2023)_Acupuncture_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Parent-rated_At study endpoint (closest to 12 weeks)
757,Cortese - Children (2018),Alpha-2 agonists (guanfacine / clonidine),Children/Adolescents (6-17yo),Core ADHD symptoms [Clinician-rated],Endpoint (~12wk),Clinician-rated,High,G,0.635,"[0.479, 0.79]",0.479,0.79,1.19e-15,"[0.26, 1.01]",8,1497,3.62e-01,2.31e-01,no,100,86.8603457270275,0.635,0.479,0.79,Cortese - Children (2018)_Alpha-2 agonists (guanfacine / clonidine)_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Clinician-rated_At study endpoint (closest to 12 weeks)
757,Cortese - Children (2018),Alpha-2 agonists (guanfacine / clonidine),Children/Adolescents (6-17yo),Acceptability,Endpoint (~12wk),,Low,RR,1.366,"[1.047, 1.781]",1.047,1.781,2.13e-02,"[0.683, 2.73]",11,1456,5.81e-01,6.05e-01,no,100,84.3438776794575,0.311886761148598,0.0459289318883997,0.577175004307525,Cortese - Children (2018)_Alpha-2 agonists (guanfacine / clonidine)_Acceptability: all-cause discontinuation_NA_At study endpoint (closest to 12 weeks)
8992,Fahrat (2024),Alpha-2 agonists (guanfacine / clonidine),Children/Adolescents (6-17yo),Tics/Tourette disorder symptoms,Endpoint (~12wk),N/A,Low,G,0.771,"[0.524, 1.018]",0.524,1.018,8.84e-10,"[0.371, 1.171]",4,297,5.47e-01,1.64e-01,no,100,100,0.771,0.524,1.018,Fahrat (2024)_Alpha-2 agonists (guanfacine / clonidine)_Tics/Tourette disorder symptoms_Mixed_At study endpoint (closest to 12 weeks)
757,Cortese - Children (2018),Alpha-2 agonists (guanfacine / clonidine),Children/Adolescents (6-17yo),Tolerability,Endpoint (~12wk),,Very low,RR,0.281,"[0.125, 0.634]",0.125,0.634,2.21e-03,"[0.056, 1.415]",8,1287,4.30e-01,2.51e-03,no,100,86.6889648171869,-1.26940060964839,-2.07944154167984,-0.455706324544911,Cortese - Children (2018)_Alpha-2 agonists (guanfacine / clonidine)_Tolerability (discontinuation due to adverse events)_NA_At study endpoint (closest to 12 weeks)
3090,Ruggiero (2014),Alpha-2 agonists (guanfacine / clonidine),Children/Adolescents (6-17yo),AE (sleep problems),Endpoint (~12wk),,Very low,RR,0.3,"[0.169, 0.532]",0.169,0.532,3.76e-05,"[0.051, 1.755]",6,1704,6.08e-02,3.31e-04,no,79.627556838023,79.627556838023,-1.20397280432594,-1.77785656405906,-0.631111789640493,Ruggiero (2014)_Alpha-2 agonists (guanfacine / clonidine)_Specific adverse events: sleep problems_NA_At study endpoint (closest to 12 weeks)
2902,Radonjic (2023),Alpha-2 agonists (guanfacine / clonidine),Adults (>=18yo),Core ADHD symptoms [Mixed],Endpoint (~12wk),Mixed,Very low,G,0.66,"[0.382, 0.939]",0.382,0.939,3.24e-06,"[-1.142, 2.463]",2,235,NaN,7.86e-01,no,17.5121083619884,17.5121083619884,0.66,0.382,0.939,Radonjic (2023)_Alpha-2 agonists (guanfacine / clonidine)_Combined ADHD symptoms (inattentive + hyperactive/impulsive)_Mixed_At study endpoint (closest to 12 weeks)
2877,Punja (2016),Amphetamines,Children/Adolescents (6-17yo),AE (decreased appetite),Endpoint (~12wk),,Low,RR,0.185,"[0.104, 0.329]",0.104,0.329,1.02e-08,"[0.037, 0.927]",11,2467,6.26e-03,2.73e-01,no,70.8011349391913,70.8011349391913,-1.68739945390381,-2.26336437984076,-1.11169752821676,Punja (2016)_Amphetamine_Specific adverse events: decreased appetite_NA_At study endpoint (closest to 12 weeks)
2877,Punja (2016),Amphetamines,Children/Adolescents (6-17yo),AE (sleep problems),Endpoint (~12wk),,Low,RR,0.281,"[0.174, 0.456]",0.174,0.456,2.52e-07,"[0.088, 0.898]",10,2429,9.06e-02,4.69e-01,no,67.3035477565818,67.3035477565818,-1.26940060964839,-1.74869997976761,-0.785262469467751,Punja (2016)_Amphetamine_Specific adverse events: sleep problems_NA_At study endpoint (closest to 12 weeks)
